Time,Comment,Field (Oe),Temperature (K),m' (emu),m' Scan Std Dev,"m"" (emu)","m"" Scan Std Dev",Amplitude (emu),Amplitude Scan Std Dev,Phase (deg),Phase Scan Std Dev,Regression Fit,Drive Amplitude (Oe),Wave Frequency (Hz),Steps per Cycle,Blocks to Average,Scans per Measurement,Clock Frequency,Amplifier Gain,AC Filter,Two Point Measurement,Scan Length,Settling Time (sec),Delta Temp (K),Rot Position (Oe),Error,% Clipped
1715124448,,0.00E+00,5.00E+00,2.92E-04,2.46E-08,5.16E-06,8.31E-09,2.92E-04,2.47E-08,1.01E+00,1.58E-03,1.00E+00,3.00E+00,9.98E+01,1878,10,3,4,0,1,1,4.00E+00,1,1.54E-03,0.00E+00,0,0.00E+00
1715124624,,0.00E+00,5.00E+00,2.86E-04,9.04E-08,3.49E-06,1.05E-07,2.86E-04,9.09E-08,6.99E-01,2.10E-02,1.00E+00,3.00E+00,9.97E+02,188,10,3,4,0,0,1,4.00E+00,1,1.41E-03,0.00E+00,0,0.00E+00
1715125105,,0.00E+00,6.97E+00,3.31E-04,4.80E-07,1.58E-05,9.15E-08,3.31E-04,4.83E-07,2.74E+00,1.18E-02,1.00E+00,3.00E+00,1.00E+00,732,10,3,2,0,3,1,4.00E+00,1,8.28E-03,0.00E+00,0,0.00E+00
1715125306,,0.00E+00,6.97E+00,3.09E-04,1.53E-07,1.18E-05,3.02E-08,3.10E-04,1.54E-07,2.19E+00,4.54E-03,1.00E+00,3.00E+00,1.00E+01,1172,10,3,3,0,2,1,4.00E+00,1,3.72E-03,0.00E+00,0,0.00E+00
1715125474,,0.00E+00,6.97E+00,2.93E-04,4.69E-08,9.11E-06,3.58E-08,2.94E-04,4.71E-08,1.78E+00,6.93E-03,1.00E+00,3.00E+00,9.98E+01,1878,10,3,4,0,1,1,4.00E+00,1,8.57E-04,0.00E+00,0,0.00E+00
1715125661,,0.00E+00,6.98E+00,2.82E-04,3.77E-08,6.26E-06,8.72E-08,2.82E-04,3.75E-08,1.27E+00,1.78E-02,1.00E+00,3.00E+00,9.97E+02,188,10,3,4,0,0,1,4.00E+00,1,5.15E-03,0.00E+00,0,0.00E+00
1715126122,,0.00E+00,8.95E+00,3.73E-04,7.73E-07,2.93E-05,1.65E-07,3.74E-04,7.83E-07,4.49E+00,1.59E-02,1.00E+00,3.00E+00,1.00E+00,732,10,3,2,0,3,1,4.00E+00,1,5.49E-03,0.00E+00,0,0.00E+00
1715126314,,0.00E+00,8.95E+00,3.34E-04,1.39E-07,2.14E-05,2.05E-08,3.35E-04,1.40E-07,3.66E+00,2.01E-03,1.00E+00,3.00E+00,1.00E+01,1172,10,3,3,0,2,1,4.00E+00,1,1.50E-03,0.00E+00,0,0.00E+00
1715126471,,0.00E+00,8.95E+00,3.06E-04,2.83E-08,1.58E-05,2.97E-08,3.07E-04,2.96E-08,2.94E+00,5.30E-03,1.00E+00,3.00E+00,9.98E+01,1878,10,3,4,0,1,1,4.00E+00,1,1.25E-03,0.00E+00,0,0.00E+00
1715126618,,0.00E+00,8.95E+00,2.87E-04,4.66E-08,1.08E-05,2.87E-08,2.87E-04,4.69E-08,2.16E+00,5.64E-03,1.00E+00,3.00E+00,9.97E+02,188,10,3,4,0,0,1,4.00E+00,1,2.25E-03,0.00E+00,0,0.00E+00
1715127089,,0.00E+00,1.09E+01,4.48E-04,9.82E-07,5.10E-05,2.68E-07,4.51E-04,1.01E-06,6.49E+00,1.97E-02,1.00E+00,3.00E+00,1.00E+00,732,10,3,2,0,3,1,4.00E+00,1,2.19E-03,0.00E+00,0,0.00E+00
1715127279,,0.00E+00,1.09E+01,3.82E-04,1.38E-07,3.69E-05,3.71E-08,3.84E-04,1.41E-07,5.51E+00,3.59E-03,1.00E+00,3.00E+00,1.00E+01,1172,10,3,3,0,2,1,4.00E+00,1,1.42E-03,0.00E+00,0,0.00E+00
